Id.;Título;Autor;Fecha;Periódico / institución;Resumen;Lugar;Demanda;Actor demandante;Actor demandado;Actor Mediador;Otro actor;Acción conflictiva;evento nuevo;Tipo de evento conflictivo;Sector demandante;Sector demandado;Sector mediador;Sector otro actor;Escala del conflicto;Episodio conflictivo;Campo de conflicto;Región;Municipio;Cuenca, Fuente o cuerpo de agua;Lugar para georeferencia;Latitud;Longitud;Texto completo;observaciones
150;Contaminación de laguna alerta a las autoridades;Redacción central;22/3/12;Los Tiempos;El Comité de Recuperación y Protección de la Laguna Alalay (Crempla) inició las acciones para determinar el grado de contaminación de las aguas de la cubeta tras el último colapso de alcantarillas del Servicio Municipal de Agua Potable y Alcantarillado (Semapa), que provocó un nuevo ingreso de aguas negras y la proliferación de macrófitas;Laguna Alalay;Mitigar el rebalse de aguas negras hacia la Laguna Alalay;CREMPLA (Comité de recuperación de la Laguna Alalay);Semapa;;;Inician investigación;NO;Contaminación de aguas;Comité interinstitucional;EPSAS;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;;;;Link;
151;Urbanizaciones dañan acuíferos en Cercado;Oscar Jordán;25/3/12;Los Tiempos;Diversas instituciones se pronuncian respecto a la conveniencia o no de cambiar la Ley que protege al PNT, puesto que en la actualidad los asentamientos urbanos están poniendo en peligro las fuentes de recarga de acuíferos;Cochabamba;Revisar la norma que protege el PNT;Sindicatos agrarios y SERNAP;Órgano Legislativo;;Clas Umss;Expresan preocupación acerca de la situación del PNT y la normativa que lo protege;expediente;Uso de suelo;Sociedad civil;Gob central legislativo;;Universidad;En ciernes;Crecimiento urbano;Ecológico / ambiental;Metropolitana;Cochabamba;Sin fuente específica;PNT;-17.347113;-66.150959;Link;
152;Comunidades de Misicuni presionan por obras;Katiuska Vásquez;27/3/12;Los Tiempos;Los pobladores de El Paso, Bella Vista y Liriuni, en Quillacollo, rechazaron la construcción de la planta de tratamiento y la hidroeléctrica del Proyecto en la zona de Molle Molle.;Misicuni;Rechazan la construcción de una hidroeléctrica en Misicuni;Pobladores de El Paso, Bella Vista y Liriuni;Gobernación;;;Rechazo al proyecto en reunión;SI;Implementación de proyecto;Org. Campesina;Gob departamental;;;Manifiesto/ confrontación;Misicuni Proyecto;Institucional normativo;Metropolitana;Quillacollo;Represa Misicuni;Molle Molle;-17.315161;-66.261619;Link;
153;Macrófitas cubren 80 por ciento de Alalay y lo tolerable es que ocupen 30 por ciento;;29/3/12;Opinión;La tarea urgente que encara la secretaría de protección a la madre tierra es la extracción manual de estas plantas. ;;Recuperación de la Laguna Alalay;;GAM Cercado;;;Prometen compra de máquina cosechadora de macrófitas;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
154;Piden cambiar modalidad de cobro de tarifas de agua;Jackeline Rojas;29/3/12;Los Tiempos;Representantes de varias OTB de Cercado cuestionaron convenios firmados entre Semapa y los distritos 6 y 7, mediante los cuales se cobra una tarifa básica de 14 bolivianos, y pidieron cambios en el sistema de categorización tarifaria en el que Semapa se basa para cobrar el servicio;Cercado;Cambio en el sistema de categorización tarifaria;Juntas vecinales;Semapa;;;Expresan rechazo;SI;Tarifas y costos;Org. Vecinal;EPSAS;;;En ciernes;Semapa tarifas;Institucional normativo;Metropolitana;Cochabamba;Sin fuente específica;Cochabamba;;;Link;
155;Semapa anuncia un plan para la laguna Alalay;Redacción central;30/3/12;Los Tiempos;Semapa promete mitigar la contaminación hacia la laguna Alalay;Laguna Alalay;Mitigar el rebalse de aguas negras hacia la Laguna Alalay;Gobernación de Cochabamba;Semapa;;;Semapa anuncia que hay acercamiento con la Gobernación;SI;Contaminación de aguas;Gob departamental;Gob municipal;;;Negociación/ pausa;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
156;Semapa analiza recategorizar las tarifas;Redacción central;4/4/12;Los Tiempos;Para este año, el Servicio Municipal de Agua Potable y Alcantarillado (Semapa), del municipio de Cercado, tiene planificado encarar el reto de debatir la uniformización de las cuatro categorías actualmente existentes para las tarifas residenciales;Cercado;Cambio en el sistema de categorización tarifaria;Juntas vecinales;Semapa;;;Semapa anuncia revisar categorías tarifarias;SI;Tarifas y costos;Org. Vecinal;EPSAS;;;Análisis/ propuesta;Semapa tarifas;Institucional normativo;Metropolitana;Cochabamba;Sin fuente específica;Semapa;;;Link;
157;Villa El Salvador tiene agua solo una hora a la semana;;23/4/12;Opinión;Los vecinos de esta zona reclaman por un mejor servicio y se oponen a la elevación de tarifas;OTB El Salvador;Cambio en el sistema de categorización tarifaria;OTB El Salvador;Semapa;;;Piden mejor servicio en la dotación de agua potable y la revisión de las tarifas;SI;Tarifas y costos;Org. Vecinal;EPSAS;;;Análisis/ propuesta;Semapa tarifas;Institucional normativo;Metropolitana;Cochabamba;Sin fuente específica;OTB El Salvador;;;Link;
158;Vecinos exigen acciones para recuperar la laguna;;26/4/12;Opinión;Tras cinco años de vigencia de la ley que impulsa la recuperación, mejoramiento y preservación de la laguna Alalay, los vecinos del Distrito 6, denuncian que no existen acciones de las autoridades.;Distrito 6 del Cercado;Recuperación de la Laguna Alalay;Vecinos Distrito 6 del Cercado;GAM Cochabamba;;;los vecinos del Distrito 6, denuncian que no existen acciones de las autoridades.;SI;Contaminación de aguas;Org. Vecinal;Gob municipal;;;En ciernes;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
159;Evalúan proyectos en comunidades de Misicuni;Redacción central;27/4/12;Los Tiempos;Comisión gubernamental ofrece obras a comunidades de Misicuni;Misicuni;Obras para las comunidades de Misicuni;Sindicatos agrarios de Misicuni;Gobernación;;;Comisión gubernamental ofrece obras a comunidades de Misicuni;SI;Implementación de proyecto;Org. Campesina;Gob departamental;;;Acuerdo;Misicuni Proyecto;Institucional normativo;Metropolitana;Quillacollo;Represa Misicuni;Represa Misicuni;-17.097694;-66.329811;Link;
160;Los usuarios con poca agua rechazan pago por categoría;Katiuska Vásquez;29/4/12;Los Tiempos;Semapa inició proceso de recategorización, encontrando oposición en la población;Cochabamba;Demandan un sistema de categorización con tarifa única;Juntas vecinales;Semapa;;;Solicitud de tarifa única;SI;Tarifas y costos;Org. Vecinal;EPSAS;;;Negociación/ pausa;Semapa tarifas;Institucional normativo;Metropolitana;Cochabamba;Sin fuente específica;Semapa;;;Link;
161;La planta de Sacaba ahora está a cargo del Gobierno;;20/5/12;Opinión;Los vecinos de Esmeralda Sur, de Sacaba, rechazan la construcción de la Planta de Tratamiento de Aguas Residuales de Pucara porque el proyecto dañaría especies nativas que hay en el lugar.;Esmeralda Sur, Sacaba;Rechazan la construcción de la planta de tratamiento de aguas residuales;Vecinos Esmeralda Sur;GAM Sacaba;;;Vecinos rechazan la construcción de la planta de tratamiento de aguas residuales.;SI;Implementación de proyecto;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Planta Esmeralda Sur;Reproducción social;Metropolitana;Sacaba;Sin fuente específica;Esmeralda Sur, Sacaba;-17.411760;-66.094372;Link;
162;Aguas del Rocha dañinas para la salud y los suelos;Jorge Fernández B.;12/6/12;Opinión;Las aguas del río Rocha no son aptas para regar los cultivos de alimentos porque están contaminadas a lo largo de todo su trayecto y su calidad varía entre mala y muy mala. Ésta es una de las conclusiones de la auditoría realizada al río Rocha por la Gerencia de Evaluaciones Ambientales de la Contraloría General del Estado (CGE) y presentada ayer.;Río Rocha;Revertir la fuerte contaminación que sufre el río Rocha;Contraloría;Gobernación de Cochabamba y Gobiernos Municipales;;;Presentación de resultados de auditoría;NO;Contaminación de aguas;Gob central ejecutivo;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Todos los de la región;Río Rocha;;;;Link;
163;Auditoría: El 100% del río Rocha está contaminado;Gisela Alcócer;12/6/12;Los Tiempos;El uso de aguas del río Rocha para riego es un riesgo para la salud pública. Tal grado de contaminación fue detectado por una auditoría ambiental realizada por la Contraloría General del Estado, que estableció la posibilidad de iniciar acciones penales contra el Gobernador del departamento y autoridades de siete municipios, por no aplicar planes de mitigación de los agentes contaminantes.;Cochabamba;Revertir la fuerte contaminación que sufre el río Rocha;Contraloría;Gobernación de Cochabamba y Gobiernos Municipales;;;Realización de auditoría y amenazan con procesos;SI;Contaminación de aguas;Gob central ejecutivo;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Todos los de la región;Río Rocha;Río Rocha;-17.382489;-66.162185;Link;
164;Cinco instituciones y Alcaldía incumplen rescate de Alalay;;14/6/12;Opinión;La Contraloría General solicitó en los últimos dos años a las instituciones responsables de la recuperación y preservación de la laguna Alalay, su intervención en por lo menos cuatro oportunidades. En marzo sugirieron el inicio de procesos administrativos a los funcionarios por el incumplimiento de las tareas destinadas a salvar la laguna.;Laguna Alalay;Recuperación de la Laguna Alalay;Contraloría;CREMPLA;;;Contraloría solicita intervención a instituciones públicas responsables de la recuperación de la Laguna Alalay;SI;Contaminación de aguas;Gob central ejecutivo;Comité interinstitucional;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
165;Alarma ambiental en Albarrancho ante posible urbanización;Violeta Soria;8/7/12;Los Tiempos;Pobladores de Albarrancho rechazan los proyectos de loteadores de urbanizar la zona, puesto que se atentaría contra el medio ambiente y se afectaría zonas de producción de alimentos;Albarrancho;El sindicato agrario demanda que el INRA consolide la zona como propiedad colectiva y evitar urbanizaciones;Sindicato Agrario Albarrancho;INRA;;;Rechazan proyecto de urbanización y demandan titulación de tierras agrícolas;expediente;Uso de suelo;Org. Campesina;Gob central ejecutivo;;;En ciernes;Crecimiento urbano;Institucional normativo;Metropolitana;Cochabamba;Sin fuente específica;Albarrancho;-17.437300;-66.195416;Link;
166;Verduras cultivadas con agua del Rocha están infectadas;Gisela Alcócer;8/7/12;Los Tiempos;El gerente de Emapa Sacaba, Óscar Zelada, informó que se tienen recursos para construir dos plantas de tratamiento de aguas servidas para limpiar el caudal del río Rocha, pero que todavía existe rechazo de algunos regantes de este municipio;Sacaba;Revertir la fuerte contaminación que sufre el río Rocha;Contraloría;Emapa Sacaba;;Laboratorio de alimentos y nutrición UMSS;Emapa atiende las recomendaciones de Contraloría y realiza estudios al respecto con la UMSS;SI;Contaminación de aguas;Gob central ejecutivo;EPSAS;;Universidad;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Sacaba;Río Rocha;Sacaba Esmeralda;-17.411760;-66.094372;Link;
167;Nueva ley obliga a purificar agua antes de verter a ríos y lagunas;Redacción central;21/7/12;Los Tiempos;La Ley Marco denominada Agua para la Vida, recientemente promulgada por el Ejecutivo, obligará a fábricas, industrias, empresas petroleras y mineras a contar con plantas de tratamiento de líquidos de forma obligatoria, en caso de ejecutar sus operaciones cerca de ríos o reservas acuíferas.;Nacional;Tratamiento de aguas servidas de uso industrial;Ministerio de Medio Ambiente y Agua;Empresas e industrias;;;Promulgación y socialización de la ley de aguas;NO;Normativa y reglamentación;Gob central ejecutivo;Industrial;;;Análisis/ propuesta;Normas sobre RRHH;Institucional normativo;Departamento;Varios;Sin fuente específica;;;;Link;
168;Dos alcaldías y la Gobernación se unen por plantas de tratamiento;Redacción central;25/7/12;Los Tiempos;Las alcaldías de Sacaba y Cercado, junto a la Gobernación de Cochabamba, firmarán un acuerdo para garantizar la construcción de dos plantas de tratamiento de aguas residuales;Cuenca del río Rocha;Revertir la fuerte contaminación que sufre el río Rocha;Contraloría;Gobernación de Cochabamba y Gobiernos Municipales;;;Anuncian firma de acuerdo;SI;Contaminación de aguas;Gob central ejecutivo;Aut. Dptal. y Mpal.;;;Acuerdo;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Varios;Río Rocha;El Abra;-17.413854;-66.107370;Link;
169;Desaparece un 15% de los acuíferos del Parque Tunari;Katiuska Vásquez;1/8/12;Los Tiempos;Una de las principales tareas es exigir que los municipios que están articulados al PNT elaboren sus planes de ordenamiento territorial “con carácter de emergencia a objeto de regular el crecimiento de la mancha urbana, preservar la zona de recarga de acuíferas, defender las áreas forestales y ante todo evitar la proliferación de asentamientos humanos”, remarcó Carrillo.;PNT;Controlar los asentamientos urbanos en el PNT;;Autoridades departamentales y municipales;;Clas Umss;Expresan preocupación ante informe del CLAS;expediente;Uso de suelo;Gob departamental;Gob municipal;;;Análisis/ propuesta;Crecimiento urbano;Ecológico / ambiental;Metropolitana;Todos los de la región;Sin fuente específica;;;;Link;
170;Extraen las macrófitas viejas y la laguna Alalay respira un poco;;11/8/12;Opinión;el Plane ha logrado sacar de la laguna la “primera camada” de macrófitas que amenazaba con prácticamente pudrir la laguna.;Laguna Alalay;Recuperación de la Laguna Alalay;;GAM Cercado;;;Realiza tareas de limpieza de la Laguna Alalay;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
171;Industrias alistan estudio y propuesta ante pedido de compensación por agua;Redacción central;19/9/12;Los Tiempos;La Cámara de Industria Cochabamba se encuentra trabajando con la Universidad Mayor de San Simón (UMSS) en un estudio científico y técnico de la cantidad de pozos utilizados en procesos productivos, ante el anuncio de la Autoridad de Fiscalización y Control Social del Agua de que las industrias que utilizan grandes volúmenes de agua en sus procesos de transformación deberán pagar una tarifa diferenciada como compensación a la “madre tierra”;Cochabamba;Que las industrias paguen una tarifa diferenciada de agua;Autoridad de Fiscalización y Control Social del Agua;Industrias;;UMSS;Iniciarán estudio técnico para determinar la cantidad de agua de semapa que consumen las industrias;NO;Tarifas y costos;Gob central ejecutivo;Industrial;;Universidad;Análisis/ propuesta;Normas sobre RRHH;Institucional normativo;Metropolitana;Todos los de la región;Sin fuente específica;;;;Link;
172;Contaminación del Rocha impide avance de proyectos;Luis Guereca;23/9/12;Los Tiempos;Autoridades municipales, departamentales, técnicos y medioambientalistas coinciden que se debe preceder a consolidar los planes para mitigar la fuerte contaminación antes de realizar proyectos turísticos;Cochabamba;Revertir la fuerte contaminación que sufre el río Rocha;;Autoridades departamentales y municipales;;Organizaciones ambientalistas;Diseño de proyectos orientados a responder a la demanda;NO;Contaminación de aguas;;Aut. Dptal. y Mpal.;;Sociedad civil;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Todos los de la región;Río Rocha;;;;Link;
173;Liberan a la laguna Alalay de 31 mil toneladas de macrófitas;Zulma Camacho G.;25/9/12;Opinión;La descontrolada proliferación de macrófitas en la laguna Alalay, que llegó a cubrir casi el 100 por ciento de su superficie, fue controlada con el apoyo de soldados que retiraron el 85 por ciento de estas plantas acuáticas.;Laguna Alalay;Recuperación de la Laguna Alalay;;GAM Cercado;;;retiran el 85% de las macrófitas;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
174;Taquiña deslinda implicancia en el conflicto por fuentes de agua;;3/10/12;Opinión;En mayo de 1996 la empresa Taquiña elaboró un proyecto diseñado técnicamente por el Promic y el Laboratorio de Hidráulica de la UMSS, con el objeto de abastecer el servicio de agua a las comunidades. El proyecto señala adicionar los rebalses de las tomas de agua y acequias existentes, redactar un reglamento de administración y distribución de agua, a cargo de la Alcaldía de Tiquipaya, cooperar con recursos propios o pagados en la adquisición de materiales y traslado de personal.;Cuenca Taquiña;Agua para consumo humano;Vecinos de Tiquipaya Cinco Salidas;Sindicato Agrario Taquiña;;Empresa Taquiña;Empresa Taquiña deslinda responsabilidad en el conflicto;SI;Derecho de uso;Org. Vecinal;Org. Campesina;;Industrial;Manifiesto/ confrontación;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;Cervecería Taquiña;-17.328081;-66.184398;Link;
175;Sindicato Cinco Salidas prevé fijar medidas en asamblea de emergencia;Redacción central;7/10/12;Los Tiempos;Los miembros del sindicato de riego Cinco Salidas anunciaron que hoy se realizará una asamblea de emergencia para determinar acciones sobre el uso del agua en la zona, la cual es manejada entre algunos sindicatos agrarios de la zona de Taquiña. Pobladores de Chilimarka procedieron al tapiado del Concejo Municipal de Tiquipaya exigiendo que se dé una buena distribución del agua, argumentando que se trata de un derecho humano vital.;Tiquipaya;Pobladores de Chilimarca exigen agua para consumo humano que anteriormente era destinada al riego;Vecinos Distrito 5 Tiquipaya;Gobierno Municipal de Tiquipaya;;;Los miembros del sindicato de riego Cinco Salidas anunciaron que hoy se realizará una asamblea de emergencia para determinar acciones sobre el uso del agua en la zona;SI;Derecho de uso;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;Tiquipaya;-17.338022;-66.218995;Link;
176;Sindicatos pelean por agua en Tiquipaya;Gabriel Caero;8/10/12;Los Tiempos;Regantes del sindicato Cinco Salidas de Tiquipaya resolvieron repudiar el conflicto por aguas con vecinos de los sindicatos agrarios de Taquiña, reclaman que los sindicatos de Taquiña desvían el agua para otros usos ;Tiquipaya;Pedimos que se cumplan los convenios de 19 litros por segundo para subsistir, mañana iremos a Tiquipaya pidiendo la cabeza del alcalde,;Vecinos Distrito 5 Tiquipaya;Gobierno Municipal de Tiquipaya;;;Marcha y cierre de entradas y salidas rumbo al sector Taquiña;SI;Derecho de uso;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;Tiquipaya;-17.338022;-66.218995;Link;"Si bien Cinco Salidas figura en la noticia como ""sindicato agrario"" se trata de organización vecinal."
177;Optan por el diálogo tras peleas por agua;Redacción central;9/10/12;Los Tiempos;Sindicato Cinco Salidas acepta el díalogo después de realizar medidas de protesta frente a la Alcaldía de Tiquipaya;Tiquipaya;Cumplimiento de acuerdo de dotación de agua para consumo humano;Vecinos Distrito 5 Tiquipaya;Gobierno Municipal de Tiquipaya;;;Marcha de protesta;NO;;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;;;;Link;"Si bien Cinco Salidas figura en la noticia como ""sindicato agrario"" se trata de organización vecinal."
178;Comisión va a La Paz buscando solucionar el conflicto por agua;;9/10/12;Opinión;Una comisión compuesta por autoridades municipales de Tiquipaya y dirigentes de los sindicatos agrarios y de los vecinos de la zona de Taquiña Norte tiene prevista hoy una reunión con el Ministro de Medio Ambiente y Agua para solucionar el conflicto registrado por la dotación del líquido de la cuenca Taquiña.;Tiquipaya;Que se ejecute el proyecto Cinco Salidas;Vecinos Distrito 5 Tiquipaya;Gobierno Municipal de Tiquipaya;;;Viajarán a La Paz para hablar con el ministro;SI;Derecho de uso;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;Tiquipaya;-17.338022;-66.218995;Link;"Si bien Cinco Salidas figura en la noticia como ""sindicato agrario"" se trata de organización vecinal."
179;Comunarios convocan a cabildo en Tiquipaya;Redacción central;28/10/12;Los Tiempos;Regantes del Sindicato Cinco Salidas anunciaron para hoy la realización de un nuevo cabildo en el que participarán autoridades del Ministerio de Medio Ambiente y Agua (Mmaya), Gobernación de Cochabamba, Alcaldía de Tiquipaya y los afiliados a este gremio para determinar el inicio de obras en el sector de Linkupata que beneficiará en riego y consumo humano a 17 mil personas;Linkupata;Inicio de obras del proyecto Linkupata;Vecinos Distrito 5 Tiquipaya;Gobierno Municipal de Tiquipaya;;;Cabildo;SI;Derecho de uso;Org. Vecinal;Gob municipal;;;Análisis/ propuesta;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;Río Taquiña;-17.324792;-66.183841;Link;
180;Regantes de Cinco Salidas advierten con acciones;Gabriel Caero;29/10/12;Los Tiempos;Pobladores del Distrito 5 de Tiquipaya determinaron dar plazo y dialogar antes de tomar medidas de presión por un proyecto de agua;Tiquipaya;Inicio de obras del proyecto Linkupata;Vecinos Distrito 5 Tiquipaya;Gobierno Municipal de Tiquipaya;;;Cabildo;NO;;Org. Vecinal;Gob municipal;;;Análisis/ propuesta;Cinco Salidas;Reproducción social;Metropolitana;Tiquipaya;Cuenca Taquiña;;;;Link;"Si bien Cinco Salidas figura en la noticia como ""sindicato agrario"" se trata de organización vecinal."
181;Canalización de torrenteras beneficio ayer y perjuicio hoy;;2/11/12;Opinión;Según Luis Salazar director del Servicio Departamental de Cuencas resulta que las grandes torrenteras -que se canalizaron en la totalidad de sus ramificaciones que atraviesan las zonas norte y oeste de la ciudad, y que desembocan en el río Rocha- ahora son perjudiciales porque impermeabilizan la zona de recarga acuífera que alimenta las reservas subterráneas, y en consecuencia secan el valle y modifican la humedad natural del ambiente.;Región Metropolitana;Detener el crecimiento de la mancha urbana;;Gobierno Departamental;;Focomade;Analizan los perjuicios del embovedado o canalización de torrenteras;expediente;Uso de suelo;;Gob departamental;;Sociedad civil;Análisis/ propuesta;Crecimiento urbano;Reproducción social;Metropolitana;Todos los de la región;Sin fuente específica;;;;Link;"Si bien Cinco Salidas figura en la noticia como ""sindicato agrario"" se trata de organización vecinal."
182;Municipios vierten sus aguas servidas al Rocha;Katiuska Vásquez;4/11/12;Los Tiempos;El plan para manejo de residuos sólidos, la falta de plantas de tratamiento de aguas servidas  y la contaminación del río Rocha, son tres de los temas prioritarios en la agenda de la Región Metropolitana, que está por nacer mediante una ley nacional a promulgarse hasta fines de 2012;Cochabamba;Creación de la Región Metropolitana y apoyo financiero para la ejecución de proyectos a escala metropolitana;Comité Kanata;Gobierno Central;;;se ha logrado que el Gobierno nacional acepté que tiene una responsabilidad financiera con la Región Metropolitana, por lo que los proyectos metropolitanos contarán con el apoyo del nivel central, departamental y municipal;SI;Normativa y reglamentación;Comité interinstitucional;Gob central legislativo;;;Análisis/ propuesta;Rio Rocha Contaminación;Institucional normativo;Metropolitana;Todos los de la región;Río Rocha;Río Rocha;-17.382489;-66.162185;Link;
183;Rocha: Contraloría pide sanción para funcionarios;Gisela Alcócer;20/11/12;Los Tiempos;Los funcionarios de niveles medios que no cumplieron con las responsabilidades que la ley determina respecto al cuidado del río Rocha en las gestiones 2010 y 2011, serán sometidos a procesos, según informaron desde la Gerencia de Evaluaciones Ambientales, de la Contraloría General del Estado.;Cochabamba;Revertir la fuerte contaminación que sufre el río Rocha;Contraloría;Gobernación de Cochabamba y Gobiernos Municipales;;;Inicio de procesos administrativos contra funcionarios responsables;SI;Contaminación de aguas;Gob central ejecutivo;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Todos los de la región;Río Rocha;Río Rocha;-17.382489;-66.162185;Link;
184;Anuncian tarifa solidaria de Bs 15 en consumo de agua;;8/12/12;Opinión;Actualmente, el Servicio Municipal de Agua Potable y Alcantarillado (Semapa) tiene cuatro escalas o categorías para el cobro por la dotación, eso es lo que se va a cambiar.;Cochabamba;Revisar la escala de tarifas de agua de semapa;;Semapa;;Autoridad de Fiscalización y Control Social de Agua Potable y Saneamiento Básico (AAPS);AAPS Anuncia cambios en el sistema de escala de tarifas;SI;Tarifas y costos;;EPSAS;;Gob central ejecutivo;Análisis/ propuesta;Semapa tarifas;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;Semapa;;;Link;
185;Vecinos enfrentados por tierra y agua;Redacción central;28/12/12;Los Tiempos;Vecinos de la OTB Max Fernández y dirigentes del Comité de Agua Potable y alcantarillado se enfrentaron. Los primeros demandan la perforación de un pozo para abastecer de agua potable a la zona, mientras que el Comité se opone a esto;Chilimarca, Tiquipaya;Perforación de pozo para agua potable;OTB Max Fernández;Comité de Agua Potable de la zona;;;Amago de enfrentamiento;NO;Implementación de proyecto;Org. Vecinal;EPSAS;;;Manifiesto/ confrontación;Comapaha;Reproducción social;Metropolitana;Tiquipaya;Pozo Comapaha;OTB Max Fernandez;-17.334702;-66.197829;Link;
186;Vecinos se vuelven a enfrentar por el agua;;28/12/12;Opinión;Se trata de una disputa al interior de la Empresa Prestadora de Servicios de Aguas (EPSA) “Hermógenes Aguilar”, compuesta por cuatro Organizaciones Territoriales de Base (OTB). De ellas, una -Max Fernández- busca independizar su servicio de agua con la perforación de un pozo y la implementación de una nueva red de distribución del líquido.;Chilimarca, Tiquipaya;Perforación de pozo para agua potable;OTB Max Fernández;Comité de Agua Potable de la zona;;;Amago de enfrentamiento;SI;Implementación de proyecto;Org. Vecinal;EPSAS;;;Manifiesto/ confrontación;Comapaha;Reproducción social;Metropolitana;Tiquipaya;Pozo Comapaha;OTB Max Fernandez;-17.334702;-66.197829;Link;
187;Vecinos tapian alcaldía de San Benito;Redacción central;3/1/13;Los Tiempos;Un proyecto de agua que  debería beneficiar tanto a San Benito como al sector de  Laimiña, ha cambiado el tenor, y resulta que figura como beneficiaria solamente Laimiña;Zona Oeste San Benito;Que el proyecto de galería filtrante beneficie a la localidad de San Benito y no solo a Laimiña;Junta Vecinal zona oeste San Benito;GAM San Benito;;;Pobladores de San Benito tapiaron varios ambientes de la Alcaldía de San Benito;NO;Implementación de proyecto;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Aislado;Reproducción social;Valle Alto;San Benito;Sin fuente específica;;;;Link;
188;La planta de tratamiento de aguas servidas de Sacaba;Guido Espinoza;4/1/13;Los Tiempos;El rechazo a la construcción de esta planta por las OTB y comunidades vecinas de Esmeralda Sud que ha provocado muchos enfrentamientos y bloqueos de la avenida Villazón tiene que ver con la decisión política vertical tomada por las autoridades de Sacaba de no cambiar de lugar la instalación de esta planta a pesar del compromiso escrito acordado el pasado año durante otro bloqueo.;Esmeralda Sur, Sacaba;Rechazo a la construcción de una planta de tratamiento de aguas residuales;OTB Esmeralda Sur y comunidades vecinas;GAM Sacaba y Emapas;;;Bloqueos en la avenida Villazón;SI;Implementación de proyecto;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Planta Esmeralda Sur;Ecológico / ambiental;Metropolitana;Sacaba;Sin fuente específica;Esmeralda Sur, Sacaba;-17.411760;-66.094372;Link;
189;Persiste conflicto en Alcaldía de San Benito;Luis Guereca;6/1/13;Los Tiempos;Los pobladores de San Benito mantienen tapiadas las instalaciones del Concejo Municipal y la Alcaldía, demandando ser incluidos en el proyecto de agua potable que pretende ejecutar el municipio. El conflicto se desató luego de que el Concejo Municipal aprobara un proyecto de agua potable sólo para la comunidad de Laimiña, dejando al margen al pueblo de San Benito.;San Benito y Laimiña;Que el proyecto de galería filtrante beneficie a la localidad de San Benito y no solo a Laimiña;Junta Vecinal zona oeste San Benito;GAM San Benito;;;Pobladores de San Benito mantienen tapiados varios ambientes de la Alcaldía de San Benito;NO;Implementación de proyecto;Org. Vecinal;Gob municipal;;;Manifiesto/ confrontación;Aislado;Reproducción social;Valle Alto;San Benito;Sin fuente específica;;;;Link;
